word|wordRepr|freq
avoue|avoue|270.967344628027
avouer|avouer|285.282791416987
avoué|avoue|102.89280106468121
avril|avril|237.178437890929
ayant|ayant|954.5749509084714
ayez|ayez|390.585070145783
ayons|ayons|98.413125489563
aéroport|aeroport|216.56794232711
aîné|aine|177.2331577662673
aïe|aie|146.443856657466
b|b|222.491501898716
bac|bac|126.329010073041
bagages|bagages|238.757378898432
bagarre|bagarre|149.2389391984147
bagnole|bagnole|260.550498472845
bague|bague|232.83654536953225
bah|bah|191.330348293018
baie|baie|118.66555774378908
baigner|baigner|119.413757774805
baignoire|baignoire|142.858330026084
bain|bain|514.359228191461
bains|bains|350.572222205102
baise|baise|217.2973027892047
baiser|baiser|699.124240841913
baisers|baisers|204.015761312093
baissa|baissa|141.256188847962
baisse|baisse|273.9281028144611
baisser|baisser|140.3154544481885
baissé|baisse|108.687272644931
baisé|baise|120.207132227818
bal|bal|257.664230603333
balade|balade|103.88271252767251
balader|balader|98.0035485087177
balai|balai|110.865745663978
balance|balance|207.21042303197862
balancer|balancer|121.009559703672
balancé|balance|108.0184596718545
balcon|balcon|234.992361293234
balle|balle|670.931857641046
balles|balles|519.497591438174
ballon|ballon|244.205936464233
banc|banc|313.760005003966
bancs|bancs|109.083034297445
bande|bande|710.4716960953875
bandes|bandes|172.87674786749508
banlieue|banlieue|155.198014145509
banque|banque|529.924409254236
banquette|banquette|147.423758049426
bar|bar|619.314840177492
baraque|baraque|186.169513065758
barbe|barbe|394.3430149784842
barbier|barbier|140.946900897792
barman|barman|96.9926267784931
baron|baron|185.104383095772
barque|barque|216.261553265324
barrage|barrage|111.356510171476
barre|barre|288.6085267117414
barreaux|barreaux|115.135496745608
barrière|barriere|135.401910237889
bas|bas|2315.1085564998557
base|base|472.1242259972472
bases|bases|110.78960158298946
basse|basse|474.1645334638539
basses|basses|108.67911372188634
bassin|bassin|140.983507756996
bat|bat|249.134707036905
bataille|bataille|508.9583352962921
bataillon|bataillon|147.531816568474
bateau|bateau|922.273670747955
bateaux|bateaux|216.438133081635
battait|battait|192.677748516132
battant|battant|157.37341009732648
batterie|batterie|111.724194117428
battre|battre|732.333707196661
battu|battu|266.4270831537404
battue|battue|112.1072895405516
bavarder|bavarder|96.9271825484582
beau|beau|3335.647584150862
beau-frère|beaufrere|97.6569132401497
beaucoup|beaucoup|5975.30348234921
beauté|beaute|857.532296710282
beaux|beaux|664.29272146148
bec|bec|164.711626859917
bel|bel|375.75996860113
belle|belle|3107.192512267832
belles|belles|666.5255686300122
ben|ben|605.984739929952
berceau|berceau|105.060408323052
berger|berger|106.929038047532
besoin|besoin|5555.66877712175
besoins|besoins|154.072892030901
beurre|beurre|251.55320624966373
biais|biais|102.6188433752
bible|bible|187.768577176651
bibliothèque|bibliotheque|301.91690770705
bicyclette|bicyclette|169.113006860812
bidon|bidon|145.6979932344833
bien|bien|38291.903366699036
biens|biens|166.478926749278
bientôt|bientot|1947.48402811495
bienvenue|bienvenue|148.3888155777323
bijou|bijou|111.582235576808
bijoux|bijoux|228.734142902527
billard|billard|103.779716659366
billet|billet|404.939518017207
billets|billets|405.249361311772
bistrot|bistrot|134.130992851163
bite|bite|153.357308486988
bizarre|bizarre|875.081801069432
bizarrement|bizarrement|103.926757055802
bizarres|bizarres|135.008855423007
bière|biere|571.209407436839
blague|blague|448.05384449657674
blagues|blagues|106.30482494698032
blanc|blanc|1607.989230897543
blanche|blanche|1078.4198324239196
blanches|blanches|419.00369035305937
blancs|blancs|670.0641273066369
blesser|blesser|155.320034697536
blessure|blessure|233.151285405116
blessures|blessures|175.5778998321
blessé|blesse|598.0525776767589
blessée|blessee|138.98508105616122
blessés|blesses|227.2772224470529
bleu|bleu|1098.794285230173
bleue|bleue|409.858297723924
bleues|bleues|142.744838626698
bleus|bleus|325.6499043459139
bloc|bloc|233.465284981505
blond|blond|230.32629321469452
blonde|blonde|404.310600226389
blonds|blonds|127.55169517561812
bloqué|bloque|105.0321262966159
blouse|blouse|185.23221369368827
blouson|blouson|160.000588679255
blé|ble|232.284863143419
boches|boches|169.1913024350346
boeuf|boeuf|137.7114568318036
boire|boire|1358.0082929838982
bois|bois|2535.253841997062
boisson|boisson|104.927164049872
boit|boit|256.619408851536
bol|bol|203.142456725866
bombe|bombe|356.5848086760809
bombes|bombes|174.03704660218972
bon|bon|11603.586414974056
bonbons|bonbons|152.944673643989
bond|bond|128.792849617519
bonheur|bonheur|1287.39593999134
bonhomme|bonhomme|245.0158016090117
bonjour|bonjour|3418.54685232575
bonne|bonne|5336.406119707456
bonnes|bonnes|826.5776517754429
bonnet|bonnet|116.712976039797
bons|bons|796.089869128439
bonsoir|bonsoir|1008.78659181246
bonté|bonte|197.465837146699
bord|bord|1504.76920868269
bordel|bordel|643.164436757166
bords|bords|183.877733762124
bornes|bornes|105.71633154178912
bosse|bosse|206.09091891250802
bosser|bosser|168.503496252434
botte|botte|109.96325268239781
bottes|bottes|343.9822054735286
bouche|bouche|1991.0007259699278
boucher|boucher|149.7215639879444
bouches|bouches|102.50101057919241
